product_id,period_start,period_end,average_daily_sales,,product_id,report_year,total_amount,,with r_cte as (
1,2019-01-25,2019-02-28,100,,1,2019,3500,,"select min(period_start) as dates, max(period_end) as max_date from sales"
2,2018-12-01,2020-01-01,10,,2,2018,310,,union all
3,2019-12-01,2020-01-31,1,,2,2019,3650,,"select dateadd(day,1,dates) as dates, max_date from r_cte"
,,,,,2,2020,10,,where dates<max_date )
,,,,,3,2019,31,,
,,,,,3,2020,31,,select * from r_cte
,,,,,,,,,join sales on dates between period_start and period_end
,,,,,,,,,"order by product_id,dates"
,,,,,,,,,option (maxrecursion 1000);
,,,,,,,,,
,,,,,,,,,select 
,,,,,,,,,"product_id,"
,,,,,,,,,"year(dates) as report_year,"
,,,,,,,,,sum(average_daily_sales) as total_amount
,,,,,,,,,from r_cte
,,,,,,,,,join sales on dates between period_start and period_end
,,,,,,,,,"group by product_id,year(dates)"
,,,,,,,,,"order by product_id,year(dates)"
,,,,,,,,,option (maxrecursion 1000);